
For Photo-ID:  65_01_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Pt-ID                               Pt-ID 
5            4.00757     4.59783         5          3.782          3.778              0      1         13
7           -3.11462     2.70094         7          0.945          2.832              0      1         17
8          -0.645058     2.56254         8          1.892          2.832              0      1         18
9            1.69367     2.42968         9          2.834          2.832              0      1         18
10            3.8967      2.2988        10          3.782          2.832              0      1         18
12          -3.10234    0.244116        12          0.945          1.891              0      1         17
13         -0.711283    0.168008        13          1.892          1.891              0      1         18
14           1.56796     0.10222        14          2.834          1.891              0      1         17
15           3.75878   0.0377562        15          3.782          1.891              0      1         17
17          -3.08131    -2.04865        17          0.945          0.942              0      1         16
18         -0.777983    -2.07845        18          1.892          0.942              0      1         18
19           1.44077    -2.10294        19          2.834          0.942              0      1         18
20           3.58832    -2.13143        20          3.782          0.942              0      1         14
21          -5.27055    -4.10301        21              0              0              0      0          6
23         -0.829419     -4.1841        23          1.892              0              0      1         17
24           1.33088     -4.1858        24          2.834              0              0      1         16
25           3.42338    -4.18378        25          3.782              0              0      1         10

Exterior Orientation Parameters: [0 , 0 , 0 , 2.1 , 2.25 , 3.5]



For Photo-ID:  65_02_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Pt-ID                               Pt-ID 
2           -1.69712     4.69252         2          0.945          3.778              0      1         12
3           0.521033     4.66616         3          1.892          3.778              0      1         14
4            2.78467     4.61346         4          2.834          3.778              0      1         14
6           -3.74466     2.44822         6              0          2.832              0      1         12
7           -1.70315     2.41028         7          0.945          2.832              0      1         17
8           0.433337     2.36249         8          1.892          2.832              0      1         18
9            2.63563     2.30449         9          2.834          2.832              0      1         18
10           4.87154      2.2333        10          3.782          2.832              0      1         18
11          -3.65208    0.379846        11              0          1.891              0      1         10
12          -1.69702    0.293045        12          0.945          1.891              0      1         17
13          0.346711    0.201205        13          1.892          1.891              0      1         18
14           2.47188    0.115288        14          2.834          1.891              0      1         17
15            4.6629   0.0226116        15          3.782          1.891              0      1         17
